"country_code","country","usage_rank","usage_index","total_observations","last_updated","region","iso2"
"ISR","Israel","1","7.00376424055597","10941","2025-08-11",,
"MCO","Monaco","2","4.92602502719415","25","2025-08-11",,
"SGP","Singapore","3","4.57173515775841","5375","2025-08-11",,
"AUS","Australia","4","4.10144936825887","18753","2025-08-11",,
"NZL","New Zealand","5","4.04852631687659","3647","2025-08-11",,
"KOR","South Korea","6","3.72545426187414","35285","2025-08-11",,
"USA","United States","7","3.62435151424616","208200","2025-08-11",,
"EST","Estonia","8","3.10575549323648","701","2025-08-11",,
"LIE","Liechtenstein","9","3.08047626370536","21","2025-08-11",,
"IMN","Isle of Man","10","3.05487576652293","42","2025-08-11",,
"SMR","San Marino","11","2.93577599309678","17","2025-08-11",,
"CAN","Canada","12","2.91361944865821","20426","2025-08-11",,
"ISL","Iceland","13","2.83128561614157","199","2025-08-11",,
"MLT","Malta","14","2.82945578144418","283","2025-08-11",,
"CHE","Switzerland","15","2.81297710764178","4311","2025-08-11",,
"LUX","Luxembourg","16","2.73989405837682","333","2025-08-11",,
"GBR","United Kingdom","17","2.66526364380185","30474","2025-08-11",,
"BMU","Bermuda","18","2.66038594799129","29","2025-08-11",,
"AND","Andorra","19","2.59304811185612","40","2025-08-11",,
"NLD","The Netherlands","20","2.56126634993938","7752","2025-08-11",,
"CYM","Cayman Islands","21","2.40858349637711","35","2025-08-11",,
"CYP","Cyprus","22","2.39017701570814","587","2025-08-11",,
"DNK","Denmark","23","2.30714259412252","2282","2025-08-11",,
"TWN","Taiwan","24","2.2949679537586","9680","2025-08-11",,
"NOR","Norway","25","2.25979837763572","2136","2025-08-11",,
"IRL","Ireland","26","2.25752424044682","2077","2025-08-11",,
"SWE","Sweden","27","2.19877455561925","3775","2025-08-11",,
"GEO","Georgia","28","2.19149069435029","1335","2025-08-11",,
"MNE","Montenegro","29","2.1301752508287","222","2025-08-11",,
"LTU","Lithuania","30","2.12977653295533","1045","2025-08-11",,
"LVA","Latvia","31","2.11229161779388","645","2025-08-11",,
"PRT","Portugal","32","2.01260397053485","3521","2025-08-11",,
"FRA","France","33","1.94380956324971","21314","2025-08-11",,
"FIN","Finland","34","1.88951746432371","1708","2025-08-11",,
"BEL","Belgium","35","1.86142850307557","3659","2025-08-11",,
"JPN","Japan","36","1.85673459994633","35298","2025-08-11",,
"DEU","Germany","37","1.83506118768492","25143","2025-08-11",,
"CZE","Czechia","38","1.711132868073","3097","2025-08-11",,
"AUT","Austria","39","1.66637212625509","2600","2025-08-11",,
"SVN","Slovenia","40","1.65487924362247","583","2025-08-11",,
"POL","Poland","41","1.60758541665592","9972","2025-08-11",,
"ARM","Armenia","42","1.54146102980475","818","2025-08-11",,
"MDV","Maldives","43","1.5241667200378","159","2025-08-11",,
"ITA","Italy","44","1.47241868377743","14383","2025-08-11",,
"BGR","Bulgaria","45","1.45960119130605","1558","2025-08-11",,
"DMA","Dominica","46","1.42307628717217","17","2025-08-11",,
"SRB","Serbia","47","1.4215585749396","1539","2025-08-11",,
"HRV","Croatia","48","1.4189268455426","900","2025-08-11",,
"MUS","Mauritius","49","1.32508793432642","312","2025-08-11",,
"URY","Uruguay","50","1.31361287659636","762","2025-08-11",,
"CRI","Costa Rica","51","1.31197904434729","1211","2025-08-11",,
"ARE","United Arab Emirates","52","1.29220192733457","3011","2025-08-11",,
"BRB","Barbados","53","1.29135992235057","63","2025-08-11",,
"GRC","Greece","54","1.28477675431947","2188","2025-08-11",,
"ESP","Spain","55","1.26058073172068","10582","2025-08-11",,
"MDA","Moldova","56","1.2359199736766","493","2025-08-11",,
"PYF","French Polynesia","57","1.17310477374838","60","2025-08-11",,
"LCA","Saint Lucia","58","1.17107698394266","40","2025-08-11",,
"CHL","Chile","59","1.1583893484359","4115","2025-08-11",,
"MKD","North Macedonia","60","1.08340158997577","330","2025-08-11",,
"CUW","Curacao","61","1.04418867805112","29","2025-08-11",,
"GUM","Guam","62","1.04169366200068","28","2025-08-11",,
"ROU","Romania","63","1.04009291915919","3327","2025-08-11",,
"LKA","Sri Lanka","64","1.00780969097685","3795","2025-08-11",,
"SVK","Slovakia","65","0.971708398631454","903","2025-08-11",,
"ECU","Ecuador","66","0.956858634417044","3042","2025-08-11",,
"HUN","Hungary","67","0.945672720326828","1524","2025-08-11",,
"THA","Thailand","68","0.935183877827984","12219","2025-08-11",,
"BRA","Brazil","69","0.92601823112018","35482","2025-08-11",,
"UKR","Ukraine","70","0.923120436362698","6122","2025-08-11",,
"NCL","New Caledonia","71","0.915262917215151","47","2025-08-11",,
"PAN","Panama","72","0.907655658886447","703","2025-08-11",,
"TUN","Tunisia","73","0.886461489060066","1886","2025-08-11",,
"PER","Peru","74","0.848593371159093","5060","2025-08-11",,
"SYC","Seychelles","75","0.839308836679964","19","2025-08-11",,
"PRI","Puerto Rico","76","0.834751904732923","444","2025-08-11",,
"COL","Colombia","77","0.823602548933627","7948","2025-08-11",,
"ALB","Albania","78","0.788830938452827","370","2025-08-11",,
"ARG","Argentina","79","0.784223491487503","6168","2025-08-11",,
"QAT","Qatar","80","0.766933049426956","476","2025-08-11",,
"GRD","Grenada","81","0.765968439820166","16","2025-08-11",,
"MYS","Malaysia","82","0.746661177300552","4881","2025-08-11",,
"MAR","Morocco","83","0.736422065865106","4845","2025-08-11",,
"LBN","Lebanon","84","0.723769492908717","698","2025-08-11",,
"BHR","Bahrain","85","0.710526865726948","228","2025-08-11",,
"TTO","Trinidad and Tobago","86","0.705783808753513","176","2025-08-11",,
"BRN","Brunei","87","0.698906366645581","61","2025-08-11",,
